ID,Latitude,Longitude,CD1,CD2,CD3,CD4,WD1,WD2,WD3,WD4,BS
23,31.59,-62.77,2757.70,29685.78,811.09,,0.45,209.89,50.94,,2.50
24,31.20,-62.04,0.00,14085.83,2134.22,,0.00,109.54,90.92,,2.50
25,30.87,-61.31,5454.11,85973.98,7032.93,,1.18,505.72,701.43,,2.50
26,30.07,-58.71,3346.84,40533.95,5454.11,,0.47,187.16,193.50,,2.00
27,30.07,-58.71,619.79,2107.27,371.87,,0.74,25.54,14.50,,1.50
28,29.68,-56.70,434.88,4566.23,543.60,,0.13,33.59,93.72,,3.00
29,29.54,-54.96,2727.05,64494.84,2999.76,,0.88,288.80,103.36,,2.00
30,29.28,-53.61,31002.30,36799.48,1638.33,,5.83,79.27,279.40,,1.50
31,28.91,-51.89,2680.58,27452.85,1756.24,,0.63,139.67,35.77,,1.50
32,28.77,-51.08,43126.42,99927.07,4558.08,,9.47,341.92,134.99,,3.00
33,28.55,-50.10,1431.70,26997.84,1636.23,,0.78,268.53,205.55,,3.00
34,35.67,-35.02,3151.26,8241.76,0.00,,0.44,56.72,0.00,,3.00
35,36.29,-33.39,1163.54,19198.46,3781.52,,0.23,154.54,214.24,,2.50
36,-23.50,-39.28,13612.36,9487.40,2681.22,,1.69,20.01,19.86,,3.00
37,-23.73,-37.49,2142.69,3116.63,0.00,,0.53,23.76,0.00,,3.00
38,-23.89,-36.69,1080.87,6330.82,154.41,,0.19,61.13,1.85,,3.00
39,-24.11,-33.96,17251.58,21520.02,1244.96,,1.60,126.81,4.62,,2.00
40,-23.03,-30.85,8264.64,16028.40,0.00,,0.93,104.94,0.00,,3.00
41,-22.30,-29.25,1051.23,2803.27,1051.23,,0.70,22.43,89.00,,5.00
42,-20.83,-28.25,1313.45,2189.08,0.00,,0.04,10.95,0.00,,4.00
43,-19.80,-27.34,1868.85,4360.64,0.00,,0.31,18.94,0.00,,3.00
44,-18.62,-26.16,194.67,584.01,0.00,,0.02,1.95,0.00,,3.00
45,-17.89,-25.09,1816.80,0.00,0.00,,1.09,0.00,0.00,,3.00
46,-16.98,-23.73,1968.85,3281.42,0.00,,0.16,2.26,0.00,,4.00
47,-16.24,-22.53,1006.30,503.15,335.43,,0.07,3.22,4.51,,4.00
48,-13.99,-20.74,0.00,4488.90,320.64,,0.00,20.20,43.61,,4.00
49,-26.43,-41.04,0.00,1973.57,845.81,,0.00,5.47,1.41,,4.00
50,-26.39,-39.92,363.39,5087.42,1453.55,,0.03,29.00,10.97,,4.00
51,-26.19,-38.76,503.15,2515.76,503.15,,0.25,11.22,25.84,,4.00
52,-26.13,-37.59,0.00,4862.50,540.28,,0.00,31.74,57.16,,4.00
53,-26.00,-36.50,3400.01,8985.73,485.72,,0.31,51.56,40.53,,4.00
54,-25.90,-35.37,1962.29,3270.48,654.10,,0.36,6.87,11.05,,3.00
55,-25.80,-34.21,0.00,14090.91,0.00,,0.00,84.96,0.00,,3.00
56,-25.92,-35.08,1206.33,6433.74,4423.19,,0.44,10.86,50.59,,3.00
57,-26.08,-31.97,0.00,8328.91,0.00,,0.00,80.11,0.00,,3.00
58,-26.31,-31.09,1022.03,7767.40,817.62,,0.04,57.58,122.87,,3.00
59,-26.49,-30.03,2289.34,9320.88,654.10,,1.99,78.03,28.29,,4.00
60,-26.80,-29.10,473.98,1895.93,0.00,,0.33,18.84,0.00,,4.00
61,-26.70,-28.09,137.42,2336.06,549.66,,0.12,18.36,115.29,,4.00
62,-27.33,-26.89,893.57,3797.69,446.79,,0.22,52.72,27.48,,5.00
63,-27.88,-25.90,1514.11,3677.13,216.30,,0.22,32.01,11.03,,5.00
64,-28.58,-24.98,268.07,3216.87,804.22,,0.03,21.71,143.42,,6.00
65,-29.52,-24.61,545.08,2725.40,0.00,,0.05,47.69,0.00,,6.00
66,-29.97,-23.48,1054.99,7121.21,527.50,,0.21,54.33,41.67,,5.00
67,-30.66,-22.67,0.00,2725.40,817.62,,0.00,34.07,73.04,,5.00
68,-31.25,-21.73,3270.48,11298.03,1189.27,,0.24,60.56,111.49,,4.00
69,-31.87,-20.75,837.73,1809.49,368.60,,0.18,11.03,12.57,,4.00
70,-32.59,-19.95,4769.45,37474.29,4769.45,,1.36,271.59,334.00,,2.00
71,-33.49,-19.10,8687.22,38325.98,4088.10,,0.72,328.63,134.91,,2.00
72,-34.04,-18.19,817.62,45377.96,817.62,,0.49,292.79,9.81,,2.00
73,-34.60,-17.19,116236.40,146897.18,17847.32,,296.54,507.05,139.12,,2.00
74,-34.33,-15.98,11290.95,71249.82,4672.12,,2.88,358.47,137.36,,2.00
75,-34.07,-14.79,13462.04,91462.67,3167.54,,4.91,371.95,38.60,,2.00
76,-33.57,-13.71,24543.49,53600.73,5360.07,,4.23,160.24,26.80,,2.00
77,-33.26,-12.49,6813.51,19532.05,4996.57,,1.14,39.15,334.09,,2.00
78,-32.90,-11.37,36419.37,95534.88,527.82,,7.92,368.94,16.89,,2.00
79,-32.61,-10.20,123897.43,51918.92,37759.22,,21.24,106.20,118.00,,2.00
80,-32.33,-9.21,74613.49,113930.77,15637.56,,19.97,329.95,1398.94,,1.00
81,-31.64,-8.08,49086.98,107718.66,10908.22,,11.93,794.46,37.43,,1.00
82,-31.93,-6.99,1855.89,14847.09,8042.17,,0.19,31.49,184.97,,1.00
83,-32.28,-5.95,65449.31,58904.38,11453.63,,8.48,65.60,289.61,,2.00
84,-32.62,-4.85,0.00,55189.41,3406.75,,0.00,110.58,83.19,,2.00
85,-32.84,-3.68,1635.24,3815.56,8721.29,,0.38,20.60,94.63,,2.00
86,-33.04,-2.43,47450.75,83993.28,6544.93,,7.53,292.72,19.63,,2.00
87,-33.22,-1.27,3270.48,57233.46,8176.21,,0.65,341.44,17.33,,3.00
88,-33.42,0.08,32704.83,138995.54,24528.63,,6.70,566.12,288.37,,2.00
89,-33.62,1.08,1090.16,8721.29,4905.73,,0.22,8.07,25.89,,1.00
90,-33.82,2.26,29434.35,63229.35,8721.29,,5.01,257.88,63.28,,1.00
91,-34.03,3.46,1635.24,15262.26,0.00,,1.64,97.02,0.00,,3.00
92,-34.16,4.86,0.00,13030.83,3066.08,,0.00,157.06,91.83,,4.00
93,-34.36,6.25,19089.38,59995.20,2727.05,,5.32,259.07,35.45,,4.00
94,-34.31,7.11,0.00,17442.58,0.00,,0.00,101.49,0.00,,3.00
95,-34.02,9.78,2180.32,4360.64,0.00,,0.87,34.99,0.00,,3.00
96,-33.78,11.40,54508.06,80275.50,8919.50,,12.78,903.35,125.86,,4.00
97,-17.72,-5.95,0.00,8657.16,1923.81,,0.00,8.18,1.92,,3.00
98,-19.18,-5.97,1923.81,961.91,480.95,,0.96,3.37,2.40,,3.00
99,-20.88,-6.00,0.00,3692.48,263.75,,0.00,17.41,44.31,,3.00
100,-22.54,-6.19,2336.06,11346.57,1001.17,,0.33,81.06,73.09,,1.00
101,-23.85,-6.33,9386.58,8645.54,0.00,,2.22,16.06,0.00,,1.00
102,-24.38,-7.27,19798.89,28598.40,2566.52,,2.57,107.43,34.83,,0.00
103,-24.91,-8.20,25126.88,33502.51,1994.20,,4.39,108.88,264.83,,0.00
104,-25.38,-9.23,35430.24,34651.55,10122.92,,8.57,41.66,52.56,,2.00
105,-25.82,-10.28,204626.19,245286.25,30937.00,,34.03,380.97,236.45,,1.00
106,-26.29,-11.29,45604.35,42021.15,2605.96,,5.54,57.33,17.59,,2.00
107,-26.84,-12.26,18937.54,34568.53,3607.15,,5.41,101.90,76.95,,2.00
108,-27.22,-13.27,5946.33,17839.00,495.53,,1.49,77.80,41.62,,3.00
109,-27.64,-14.30,88575.59,147823.48,17478.13,,16.89,467.76,843.10,,1.00
110,-28.03,-15.34,29236.14,45093.03,3964.22,,5.45,279.48,229.92,,1.00
111,-28.39,-16.39,17885.46,47268.70,4258.44,,5.20,150.32,692.00,,3.00
112,-28.83,-17.44,70126.71,73585.88,13207.72,,12.26,227.68,120.44,,3.00
113,-29.12,-18.51,22192.57,41757.06,3504.09,,5.26,234.77,145.71,,2.00
114,-29.51,-19.57,31239.29,63249.91,7713.40,,8.41,214.43,40.11,,2.00
115,-29.95,-20.71,21597.53,65178.27,5785.05,,5.40,281.92,366.00,,2.00
116,-30.28,-21.83,51047.23,63160.13,7786.87,,9.08,158.33,665.78,,2.00
117,-30.57,-22.93,138304.02,119185.53,17491.39,,21.15,292.88,163.93,,1.00
118,-30.90,-24.06,211384.90,167844.93,43539.97,,30.91,273.87,169.51,,1.00
119,-31.14,-25.22,173744.43,193855.26,10549.95,,21.43,287.49,60.99,,2.00
120,-31.48,-26.32,24186.85,24186.85,2366.11,,2.63,58.36,31.55,,3.00
121,-31.66,-27.52,96946.47,84682.16,18396.47,,13.72,307.16,101.62,,2.00
122,-31.94,-28.69,47474.76,42199.79,0.00,,8.44,88.14,0.00,,1.00
123,-32.48,-29.71,82179.24,90939.46,21274.83,,11.14,234.44,163.11,,2.00
124,-32.83,-30.81,23506.60,30660.78,2725.40,,3.75,65.07,209.52,,3.00
125,-33.24,-32.05,26607.32,36030.75,1940.12,,4.43,138.03,185.14,,4.00
126,-33.45,-33.17,20849.33,29025.54,4496.91,,3.03,87.89,150.85,,4.00
127,-33.69,-34.34,7432.92,14542.66,323.17,,0.97,80.15,17.13,,5.00
128,-33.94,-35.50,545.08,2725.40,272.54,,0.27,14.44,60.23,,5.00
129,-34.68,-36.45,15609.13,52773.71,0.00,,2.97,128.59,0.00,,2.00
130,-34.77,-37.60,7472.88,11429.11,5274.97,,1.32,66.82,143.74,,3.00
131,-34.67,-38.82,38357.52,52993.94,10094.08,,4.90,125.72,1090.16,,2.00
132,-34.81,-40.08,90716.98,36208.92,9733.58,,10.90,85.66,99.28,,2.00
133,-34.87,-41.35,85525.19,177892.40,10263.02,,10.26,370.84,51.32,,3.00
134,-34.84,-42.57,3303.52,8809.38,1651.76,,0.91,34.38,106.81,,2.00
135,-34.91,-43.86,4569.06,8176.21,1202.38,,0.96,37.75,108.94,,4.00
136,-35.08,-45.01,29360.02,24528.63,3716.46,,4.09,47.94,66.15,,4.00
137,-34.94,-46.30,6813.51,5791.48,1362.70,,1.02,42.41,82.44,,3.00
138,-35.15,-47.83,16352.42,39129.00,2920.07,,2.34,68.33,224.85,,2.00
139,-34.72,-49.21,4695.80,10220.26,828.67,,1.08,61.32,36.19,,2.00
140,37.20,-133.87,15506.45,18552.36,1107.60,,2.90,36.88,61.06,,4.00
141,37.18,-133.95,32472.93,68218.32,14348.50,,8.84,297.77,1158.28,,4.00
142,38.15,-137.45,118621.69,97000.01,14282.21,,13.69,88.07,3654.46,,3.00
143,38.69,-141.77,17257.50,18881.74,2436.35,,1.89,35.90,37.76,,3.00
144,38.69,-142.03,5100.93,14353.77,1660.77,,1.87,22.04,224.67,,3.00
145,38.64,-142.27,9619.48,12488.45,928.20,,1.96,21.26,14.43,,3.00
146,37.87,-143.82,16235.81,255134.23,11597.01,,3.71,500.30,361.83,,4.00
147,36.68,-144.84,82044.72,391763.53,28202.87,,31.23,788.09,12882.05,,4.00
148,36.51,-145.04,20917.25,107991.36,7296.71,,6.32,212.72,40.38,,3.00
149,32.55,-146.96,22362.54,60773.50,7498.03,,6.04,454.99,775.32,,4.00
150,32.52,-147.30,13741.98,61151.82,17177.48,,4.12,522.88,1100.73,,4.00
151,31.56,-152.61,5382.34,29710.54,6028.23,,1.46,411.00,4039.99,,3.50
152,29.45,-153.52,2016.65,23527.53,5377.72,,0.81,289.86,494.62,,4.00
153,18.89,-155.66,0.00,8386.43,0.00,,0.00,61.48,82.57,,4.50
154,18.92,-155.70,418.09,1254.26,418.09,,0.42,1.46,0.42,,4.00
155,18.95,-155.72,721.67,721.67,0.00,,0.24,1.92,0.00,,4.50
156,18.16,-155.98,3741.20,1360.44,0.00,,2.04,6.12,0.00,,5.00
157,19.24,-155.18,156.73,1097.09,156.73,,0.31,3.45,3.76,,3.00
158,19.70,-154.34,221.59,2437.48,1107.94,,0.22,10.41,25.26,,3.00
159,19.85,-154.44,617.13,2879.93,411.42,,0.41,10.08,20.57,,3.00
160,19.92,-154.69,1768.14,4641.37,1547.12,,1.11,28.75,121.56,,3.00
161,19.07,-155.45,1590.78,3181.56,1590.78,,0.68,11.82,38.86,,3.00
162,19.01,-155.57,14048.46,35369.07,1983.31,,2.50,128.89,31.40,,4.00
163,19.34,-156.09,26247.90,24283.77,1785.57,,5.07,26.74,572.10,,2.00
164,19.90,-156.00,0.00,725.75,0.00,,0.00,1.27,0.00,,2.00
165,19.29,-156.05,5713.83,3713.99,0.00,,2.00,3.14,0.00,,3.00
166,21.65,-160.54,2149.08,4298.16,5730.88,,0.72,66.62,10.75,,4.50
167,21.65,-160.55,642.81,1285.61,0.00,,1.93,2.05,0.00,,4.50
168,22.01,-160.88,719.94,2639.79,959.92,,0.60,23.16,20.64,,4.00
169,22.10,-160.97,3428.30,20021.26,1371.32,,1.65,130.69,59.10,,3.00
170,22.96,-161.91,719.94,3839.69,359.97,,0.36,49.44,561.80,,3.50
171,23.57,-164.48,151.33,907.97,605.31,,0.23,38.29,0.83,,3.50
172,30.12,-165.41,11453.63,14609.22,2337.48,,2.45,94.08,179.05,,3.00
173,30.99,-165.43,4850.14,31374.33,2121.94,,1.53,215.22,104.88,,3.00
174,32.01,-165.40,709.11,18358.04,2994.01,,0.10,136.78,378.66,,2.30
175,32.24,-165.91,9360.95,32678.24,2042.39,,1.74,206.83,1399.72,,3.00
176,33.03,-167.59,29563.75,82555.38,2603.10,,7.62,770.33,7080.98,,2.50
177,33.01,-167.92,30557.56,45116.39,3519.72,,5.12,202.86,1014.32,,2.50
178,33.01,-168.14,14317.04,27526.21,5028.01,,3.78,88.62,392.27,,2.50
179,32.84,-170.07,15427.34,7999.36,1371.32,,2.19,53.02,3126.72,,3.50
180,32.56,-169.70,4249.66,22873.17,1624.87,,0.87,170.49,54.12,,4.00
181,32.26,-167.99,12399.01,121590.27,10132.52,,2.27,630.68,538.56,,2.50
182,32.55,-165.81,10496.48,25661.63,4894.06,,1.77,232.66,1015.68,,3.00
183,32.47,-166.11,0.00,20071.12,5235.94,,0.00,141.25,264.23,,3.00
184,33.28,-165.00,287.29,17524.54,2528.13,,0.11,188.23,241.21,,2.50
185,33.76,-162.72,7270.35,37593.05,4433.14,,1.01,413.35,1389.88,,5.00
186,33.76,-160.42,21459.82,65763.97,11999.04,,5.31,284.52,170.52,,2.50
187,34.51,-157.85,38094.85,97334.87,5538.02,,11.77,556.82,414.85,,2.50
188,36.16,-157.56,3183.82,14725.19,1790.90,,1.39,83.38,496.48,,4.00
189,35.69,-147.67,54395.65,136889.05,14698.82,,16.10,862.43,855.73,,2.50
190,35.88,-132.57,32809.88,8249.34,9561.74,,5.81,18.56,64.49,,1.00
191,35.76,-138.51,164899.09,105488.64,17386.52,,100.41,408.52,356.49,,3.50
192,35.76,-138.77,59515.24,175528.81,10559.16,,17.16,631.20,468.00,,3.00
193,35.89,-139.40,38298.82,88357.71,14527.14,,9.25,603.35,16468.56,,3.30
194,35.97,-139.82,32801.28,82038.31,7936.93,,8.16,246.99,455.23,,3.00
195,36.04,-140.33,357243.00,235383.27,61233.00,,75.66,402.11,559.43,,2.00
196,36.08,-140.79,211557.29,238973.39,44254.33,,50.28,548.32,1137.65,,2.50
197,35.84,-140.82,300585.87,350139.78,49024.86,,64.78,823.72,4586.12,,2.50
198,35.38,-141.02,391199.87,254744.74,41887.56,,64.52,576.80,965.02,,2.00
199,35.00,-141.45,101533.05,272201.75,13657.73,,31.42,899.24,1811.25,,3.00
200,35.91,-141.78,155566.98,290785.10,16380.83,,45.48,866.86,1627.40,,3.00
201,34.68,-142.08,159155.27,149652.03,16894.65,,33.71,568.84,10342.26,,4.00
202,25.11,-128.11,14058.05,12993.04,3834.01,,3.07,7.22,32.38,,2.00
203,24.22,-128.35,2491.81,4600.27,766.71,,0.35,4.60,0.77,,2.00
204,23.57,-130.37,4561.04,7367.83,2105.09,,0.67,7.30,9.44,,3.00
205,24.60,-146.39,1045.21,1254.26,209.04,,0.22,4.92,23.31,,5.00
206,24.54,-146.48,1983.31,1873.13,330.55,,0.24,2.66,114.26,,5.00
207,24.41,-146.67,210.39,1262.32,420.77,,0.11,4.73,44.60,,6.00
208,24.36,-146.77,20725.61,7635.75,0.00,,1.67,4.36,0.00,,6.00
209,23.57,-160.42,4990.27,8157.17,287.90,,1.04,22.17,10.84,,2.00
210,29.30,-162.05,55398.79,63140.11,10160.48,,11.88,343.78,311.83,,2.00
211,29.77,-162.63,32345.24,50343.80,11216.49,,7.04,237.24,349.67,,2.50
212,30.54,-163.23,11958.37,20500.05,1708.34,,1.22,172.79,147.16,,2.00
213,31.31,-163.99,137693.90,162773.86,14359.51,,23.80,588.64,1192.43,,1.00
214,31.61,-164.25,25655.84,67099.90,6907.34,,6.32,449.59,661.33,,1.00
215,32.74,-165.24,80350.71,32318.84,3928.26,,14.43,171.77,1680.94,,2.00
216,34.37,-169.18,7522.62,21453.39,2089.62,,1.53,91.80,56.70,,2.00
217,34.39,-170.02,57576.04,71728.13,10886.23,,10.63,274.70,531.13,,2.00
218,35.06,-171.64,33826.40,38965.56,12732.84,,5.35,143.53,611.51,,2.00
219,35.00,-171.74,25474.15,43091.79,5713.83,,4.07,90.47,469.01,,2.00
220,35.00,-171.82,23981.43,30101.69,4121.81,,3.25,44.22,8302.32,,2.00
221,35.00,-171.93,27815.96,32490.91,3389.34,,4.82,93.58,309.24,,2.00
222,34.59,-172.95,30274.08,53083.31,1382.38,,7.88,137.13,155.10,,2.00
223,34.54,-176.40,18313.97,94622.16,18313.97,,2.42,455.18,857.09,,0.00
224,34.49,-176.44,20444.61,56952.85,13873.13,,2.77,398.67,5675.57,,0.00
225,34.47,-176.46,9799.58,16985.94,6533.05,,3.07,32.67,663.76,,0.00
226,34.45,-176.48,44996.40,78743.70,937.43,,10.22,89.06,15.00,,0.00
227,34.43,-176.49,81019.16,62559.10,12306.71,,15.79,9278.23,627.64,,1.00
228,34.01,-179.99,11051.75,25261.14,0.00,,3.16,31.58,0.00,,1.00
229,34.05,-179.99,74111.72,280565.79,0.00,,20.12,365.26,0.00,,1.00
230,34.15,-179.99,17998.56,21598.27,0.00,,3.28,21.60,0.00,,1.00
231,34.16,-179.99,5454.11,116354.33,7726.65,,0.86,550.41,449.46,,1.00
232,34.51,-179.86,1818.04,10302.21,606.01,,0.11,30.54,9.39,,1.50
233,35.10,-179.93,24283.77,48567.54,4285.37,,3.09,29.38,38.47,,1.50
234,35.38,-179.89,21628.36,30467.78,2068.80,,4.70,46.08,51.53,,2.00
235,35.41,-179.87,15103.69,15103.69,3775.92,,2.27,37.51,8.68,,1.00
236,36.10,-179.59,60256.05,99122.50,9651.40,,7.83,97.30,107.99,,1.00
237,36.48,-179.35,29997.60,25712.23,4285.37,,4.30,27.43,57.85,,2.00
238,37.85,-179.38,505.81,6912.80,1180.23,,0.17,34.21,12.31,,1.00
239,39.30,-179.75,11477.34,2086.79,2086.79,,3.23,4.59,107.99,,1.00
240,39.31,-179.74,85587.56,181873.56,10698.44,,16.99,246.63,60.41,,1.00
241,40.31,-178.91,16455.83,53481.44,4113.96,,5.97,80.22,26.74,,2.00
242,40.49,-178.71,13845.05,31382.10,2769.01,,2.77,92.30,30.46,,2.00
243,25.63,-158.98,13405.52,17800.77,439.53,,1.98,35.38,10.55,,4.00
244,28.01,-160.31,232634.45,69048.64,8770.88,,31.98,163.15,231.07,,3.00
245,26.65,-160.30,206456.97,44479.77,8659.78,,23.50,77.37,86.46,,2.00
246,31.16,-160.24,223307.20,180074.92,21973.43,,23.95,283.88,280.12,,2.00
247,31.15,-160.10,478350.99,218841.55,65028.35,,57.82,1006.35,1875.55,,2.00
248,31.15,-159.98,155428.80,91801.12,10762.89,,16.76,282.57,158.33,,2.00
249,30.81,-158.69,46548.00,39730.36,705.27,,5.48,216.92,61.69,,2.00
250,31.31,-158.73,0.00,1993.75,1079.95,,0.00,5.32,7.89,,3.00
251,32.01,-159.01,234356.25,124115.07,11624.07,,36.99,475.87,195.40,,1.00
252,32.50,-159.92,62482.95,63832.89,5592.61,,9.08,198.83,113.57,,2.00
253,32.55,-159.96,25165.27,53026.82,4673.55,,5.66,2205.20,3744.39,,2.00
254,33.14,-159.25,34033.64,23998.08,1963.48,,2.44,177.54,74.44,,4.00
255,33.18,-159.23,24076.76,25020.95,4484.89,,3.00,113.44,3448.41,,4.00
256,34.29,-144.35,102332.95,233158.60,25683.56,,26.61,1028.63,5169.62,,2.00
257,34.37,-143.71,82359.48,389901.84,27118.37,,16.29,4020.29,4608.68,,3.00
258,34.67,-142.08,43732.77,217784.78,10109.08,,11.10,1133.98,979.70,,4.00
259,34.93,-141.90,4331.36,50688.63,4097.23,,1.87,378.82,877.74,,5.50
260,35.01,-141.43,25281.40,157078.34,11870.71,,6.28,1234.62,6174.96,,5.50
261,35.38,-141.02,12176.97,80178.94,7228.34,,2.66,876.02,4954.14,,5.50
262,35.84,-140.82,6341.89,145774.85,19779.61,,0.93,1316.23,4521.02,,5.00
263,36.07,-140.83,15049.64,200119.58,8541.69,,5.02,1352.16,8788.18,,5.00
264,36.04,-140.32,19181.16,326223.90,10960.66,,12.69,1739.70,1277.21,,5.00
265,36.01,-140.15,99772.24,354257.37,18899.59,,26.65,1708.00,7013.94,,5.00
266,35.98,-139.99,64136.84,109045.40,5302.15,,6.84,830.07,11642.94,,5.00
267,35.93,-139.77,20349.25,73295.57,8484.17,,3.06,805.56,8079.16,,5.00
268,35.69,-139.20,0.00,39715.13,3380.01,,0.00,336.24,1635.57,,5.00
269,34.65,-142.29,88881.78,286396.84,25183.17,,20.22,1953.03,1812.97,,2.00
270,31.54,-156.86,6798.71,24281.09,5827.46,,0.87,0.29,903.26,,2.00
271,32.20,-156.83,6957.08,21280.47,5320.12,,1.19,162.55,308.57,,4.00
272,39.12,-156.92,4548.72,24397.70,2894.64,,1.98,74.60,6083.67,,3.00
273,40.20,-156.71,13470.24,29695.75,2755.28,,1.07,109.38,84.92,,3.00
274,41.04,-156.24,16016.88,66276.76,3313.84,,2.71,265.05,38.66,,1.00
275,41.32,-155.71,95605.29,102762.91,21217.22,,11.61,170.66,150.82,,2.00
276,41.34,-155.73,47068.59,45234.75,0.00,,4.40,58.93,0.00,,2.00
277,41.28,-154.25,83148.98,123167.20,11116.17,,16.01,168.08,280.57,,1.00
278,40.55,-151.54,4703.68,9407.35,335.98,,0.01,38.51,21516.30,,1.00
279,40.51,-150.16,59575.71,9637.25,876.11,,3.07,50.64,8.76,,2.00
280,40.40,-148.05,62003.48,31001.74,1347.90,,3.59,40.89,2.25,,3.00
281,40.24,-146.27,38712.74,5211.33,0.00,,1.74,9.93,0.00,,4.00
282,40.09,-144.45,88723.44,15046.67,518.85,,3.63,22.36,0.52,,4.00
283,40.37,-140.93,53751.77,9406.56,0.00,,17.02,16.57,0.00,,4.00
284,42.06,-137.54,106763.07,64419.75,1447.63,,4.70,2.53,25.33,,4.00
285,43.70,-134.58,27369.63,9519.87,0.00,,0.42,10.11,0.00,,4.00
286,14.55,160.72,1632.46,4570.90,979.48,,0.46,3.92,44.31,,4.00
287,15.22,159.90,0.00,2772.96,554.59,,0.00,17.19,16.64,,2.00
288,15.79,159.21,0.00,359.73,1438.91,,0.00,0.00,0.36,,3.00
289,16.45,158.56,0.00,387.59,0.00,,0.00,3.29,0.00,,4.00
290,17.49,157.54,647.66,2914.45,323.83,,0.10,13.28,5.51,,3.00
291,17.96,157.08,724.62,4710.01,362.31,,0.22,25.00,163.04,,3.00
292,32.81,156.50,0.00,1877.65,0.00,,0.00,21.62,0.00,,3.00
293,19.43,156.14,573.26,3439.56,573.26,,0.06,17.57,31.50,,3.00
294,19.66,155.11,2829.79,3773.05,0.00,,1.23,4.40,0.00,,2.00
295,20.51,155.18,5557.49,8027.49,617.50,,1.02,30.81,1.23,,3.00
296,21.58,155.34,555.18,1387.96,0.00,,0.14,7.77,0.00,,2.00
297,22.46,155.30,12957.51,14701.79,1245.91,,1.92,30.77,17.94,,2.00
298,23.41,155.23,6315.32,5112.40,1202.92,,1.20,9.89,126.01,,2.00
299,24.29,155.09,3526.16,11540.16,1923.36,,0.71,63.05,113.54,,2.00
300,25.10,154.16,10862.09,9296.38,391.43,,2.03,21.16,28.41,,3.00
301,25.71,153.24,814.51,3258.06,1221.77,,0.29,49.69,328.66,,3.00
302,26.35,152.30,3400.19,27201.52,1360.08,,0.66,131.63,41.89,,2.00
303,27.08,151.36,4323.51,14699.93,864.70,,1.27,44.33,151.61,,3.00
304,27.85,150.26,36781.10,275858.22,12260.37,,7.66,1187.42,936.69,,3.00
305,28.56,149.30,2689.82,17483.84,336.23,,0.98,61.70,0.37,,4.00
306,29.73,148.05,62977.87,127580.97,10157.72,,13.16,155.17,30.07,,3.00
307,33.26,151.18,20879.57,29285.63,2982.80,,3.71,63.21,16.27,,3.00
308,32.09,153.17,6919.37,24632.94,553.55,,1.69,70.16,11.43,,3.00
309,31.27,155.32,3546.62,9995.02,2256.94,,0.87,32.27,291.40,,2.00
310,30.73,157.77,2553.92,11918.30,4540.30,,0.85,70.52,176.50,,2.00
311,30.19,160.40,8654.04,24725.84,0.00,,1.14,91.24,0.00,,2.00
312,30.44,163.32,1832.98,6022.66,261.85,,0.31,12.31,33.52,,3.00
313,30.50,166.08,9357.02,15311.50,1417.73,,0.96,30.91,57.28,,2.00
314,30.08,168.13,24616.74,23406.08,807.11,,4.68,50.44,292.17,,3.00
315,29.20,169.83,3547.73,11234.48,591.29,,0.44,53.87,25.72,,2.00
316,29.41,172.01,6335.44,11966.93,1759.84,,0.84,68.92,296.01,,2.00
317,28.48,175.32,31770.67,42236.31,2242.64,,6.39,99.50,595.42,,3.00
